timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
493168110,0,0,0,0,0,0,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.000001,0.0001,0.010000000000000002,NaN,0,0,0,0,0,0,0
493168114,0,0,0,1,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010010160000000001,0.00011016,0.0000010016000039999999,0.00010000000040000001,0.010000000040000002,NaN,0,0,2,0.0077919999999999994,0,0,0
493168150,0,0,0,2,0,0.036,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010116000000051841,0.00021600000005183808,0.0000011731673999999997,0.00010000000400000002,0.010000000400000002,NaN,0,0,1,0.000083,0,0,0
493168154,0,0,0,3,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010129360000069763,0.0002293600000697577,0.0000012119642040008292,0.00010000000440000002,0.010000000440000002,NaN,0,0,1,0.000084,0,0,0
493168158,0,0,0,4,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010143040000101123,0.00024304000010111725,0.0000012579840480037884,0.00010000000480000003,0.010000000480000002,NaN,0,0,1,0.00020800000000000001,0,0,0
493168162,0,0,0,5,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010157040000147204,0.0002570400001471968,0.000001311715892010055,0.00010000000520000004,0.010000000520000002,NaN,0,0,1,0.000084,0,0,0
493168166,0,0,0,6,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010171360000209284,0.00027136000020927634,0.0000013736640560214826,0.00010000000560000004,0.010000000560000001,NaN,0,0,1,0.000083,0,0,0
493168170,0,0,0,7,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010186000000288643,0.00028600000028863583,0.0000014443482200406615,0.00010000000600000005,0.010000000600000001,NaN,0,0,1,0.000084,0,0,0
493168174,0,0,0,8,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010200960000386563,0.0003009600003865553,0.0000015243034240709815,0.00010000000640000006,0.010000000640000001,NaN,0,0,1,0.000084,0,0,0
493168182,0,0,0,9,0,0.008,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010231840000642564,0.00033184000064255396,0.0000017134874321747723,0.00010000000720000005,0.01000000072,NaN,0,0,1,0.000084,0,0,0
493168186,0,0,0,10,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010247760000802565,0.00034776000080255325,0.0000018242074362653745,0.00010000000760000006,0.01000000076,NaN,0,0,1,0.000084,0,0,0
493168190,0,0,0,11,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010264000000986245,0.00036400000098623254,0.000001946487120389502,0.00010000000800000007,0.0100000008,NaN,0,0,1,0.000084,0,0,0
