time_ms,x_m,y_m
0,0.0,0.0
20,-0.011428571428571429,0.0
40,-0.022857142857142857,0.0
60,-0.03428571428571429,0.0
80,-0.045714285714285714,0.0
100,-0.05714285714285714,0.0
120,-0.06857142857142857,0.0
140,-0.08,0.0
160,-0.09142857142857143,0.0
180,-0.10285714285714286,0.0
200,-0.11428571428571428,0.0
220,-0.12571428571428572,0.0
240,-0.13714285714285715,0.0
260,-0.14857142857142858,0.0
280,-0.16,0.0
300,-0.17142857142857143,0.0
320,-0.18285714285714286,0.0
340,-0.19428571428571428,0.0
360,-0.2057142857142857,0.0
380,-0.21714285714285714,0.0
400,-0.22857142857142856,0.0
420,-0.24,0.0
440,-0.25142857142857145,0.0
460,-0.26285714285714284,0.0
480,-0.2742857142857143,0.0
500,-0.2857142857142857,0.0
520,-0.29714285714285715,0.0
540,-0.30857142857142855,0.0
560,-0.32,0.0
580,-0.3314285714285714,0.0
600,-0.34285714285714286,0.0
620,-0.35428571428571426,0.0
640,-0.3657142857142857,0.0
660,-0.37714285714285717,0.0
680,-0.38857142857142857,0.0
700,-0.4,0.0
720,-0.4,0.0
740,-0.4,0.0
760,-0.4,0.0
780,-0.4,0.0
800,-0.4,0.0
820,-0.4,0.0
840,-0.4,0.0
860,-0.4,0.0
880,-0.4,0.0
900,-0.4,0.0
920,-0.4,0.0
940,-0.4,0.0
960,-0.4,0.0
980,-0.4,0.0
1000,-0.4,0.0
1020,-0.4,0.0
1040,-0.4,0.0
1060,-0.4,0.0
1080,-0.4,0.0
1100,-0.4,0.0
1120,-0.4,0.0
1140,-0.4,0.0
1160,-0.4,0.0
1180,-0.4,0.0
1200,-0.4,0.0
1220,-0.4,0.0
1240,-0.4,0.0
1260,-0.4,0.0
1280,-0.4,0.0
1300,-0.4,0.0
1320,-0.4,0.0
1340,-0.4,0.0
1360,-0.4,0.0
1380,-0.4,0.0
1400,-0.4,0.0
1420,-0.4,0.0
1440,-0.4,0.0
1460,-0.4,0.0
1480,-0.4,0.0
1500,-0.4,0.0
1520,-0.4,0.0
1540,-0.4,0.0
1560,-0.4,0.0
1580,-0.4,0.0
1600,-0.4,0.0
1620,-0.4,0.0
1640,-0.4,0.0
1660,-0.4,0.0
1680,-0.4,0.0
1700,-0.4,0.0
1720,-0.4,0.0
1740,-0.4,0.0
1760,-0.4,0.0
1780,-0.4,0.0
1800,-0.4,0.0
1820,-0.4,0.0
1840,-0.4,0.0
1860,-0.4,0.0
1880,-0.4,0.0
1900,-0.4,0.0
1920,-0.4,0.0
1940,-0.4,0.0
1960,-0.4,0.0
1980,-0.4,0.0
2000,-0.4,0.0
2020,-0.4,0.0
2040,-0.4,0.0
2060,-0.4,0.0
2080,-0.4,0.0
2100,-0.4,0.0
2120,-0.4,0.0
2140,-0.4,0.0
2160,-0.4,0.0
2180,-0.4,0.0
2200,-0.4,0.0
2220,-0.4,0.0
2240,-0.4,0.011428571428571429
2260,-0.4,0.022857142857142857
2280,-0.4,0.03428571428571429
2300,-0.4,0.045714285714285714
2320,-0.4,0.05714285714285714
2340,-0.4,0.06857142857142857
2360,-0.4,0.08
2380,-0.4,0.09142857142857143
2400,-0.4,0.10285714285714286
2420,-0.4,0.11428571428571428
2440,-0.4,0.12571428571428572
2460,-0.4,0.13714285714285715
2480,-0.4,0.14857142857142858
2500,-0.4,0.16
2520,-0.4,0.17142857142857143
2540,-0.4,0.18285714285714286
2560,-0.4,0.19428571428571428
2580,-0.4,0.2057142857142857
2600,-0.4,0.21714285714285714
2620,-0.4,0.22857142857142856
2640,-0.4,0.24
2660,-0.4,0.25142857142857145
2680,-0.4,0.26285714285714284
2700,-0.4,0.2742857142857143
2720,-0.4,0.2857142857142857
2740,-0.4,0.29714285714285715
2760,-0.4,0.30857142857142855
2780,-0.4,0.32
2800,-0.4,0.3314285714285714
2820,-0.4,0.34285714285714286
2840,-0.4,0.35428571428571426
2860,-0.4,0.3657142857142857
2880,-0.4,0.37714285714285717
2900,-0.4,0.38857142857142857
2920,-0.4,0.4
2940,-0.4,0.4
2960,-0.4,0.4
2980,-0.4,0.4
3000,-0.4,0.4
3020,-0.4,0.4
3040,-0.4,0.4
3060,-0.4,0.4
3080,-0.4,0.4
3100,-0.4,0.4
3120,-0.4,0.4
3140,-0.4,0.4
3160,-0.4,0.4
3180,-0.4,0.4
3200,-0.4,0.4
3220,-0.4,0.4
3240,-0.4,0.4
3260,-0.4,0.4
3280,-0.4,0.4
3300,-0.4,0.4
3320,-0.4,0.4
3340,-0.4,0.4
3360,-0.4,0.4
3380,-0.4,0.4
3400,-0.4,0.4
3420,-0.4,0.4
3440,-0.4,0.4
3460,-0.4,0.4
3480,-0.4,0.4
3500,-0.4,0.4
3520,-0.4,0.4
3540,-0.4,0.4
3560,-0.4,0.4
3580,-0.4,0.4
3600,-0.4,0.4
3620,-0.4,0.4
3640,-0.4,0.4
3660,-0.4,0.4
3680,-0.4,0.4
3700,-0.4,0.4
3720,-0.4,0.4
3740,-0.4,0.4
3760,-0.4,0.4
3780,-0.4,0.4
3800,-0.4,0.4
3820,-0.4,0.4
3840,-0.4,0.4
3860,-0.4,0.4
3880,-0.4,0.4
3900,-0.4,0.4
3920,-0.4,0.4
3940,-0.4,0.4
3960,-0.4,0.4
3980,-0.4,0.4
4000,-0.4,0.4
4020,-0.4,0.4
4040,-0.4,0.4
4060,-0.4,0.4
4080,-0.4,0.4
4100,-0.4,0.4
4120,-0.4,0.4
4140,-0.4,0.4
4160,-0.4,0.4
4180,-0.4,0.4
4200,-0.4,0.4
4220,-0.4,0.4
4240,-0.4,0.4
4260,-0.4,0.4
4280,-0.4,0.4
4300,-0.4,0.4
4320,-0.4,0.4
4340,-0.4,0.4
4360,-0.4,0.4
4380,-0.4,0.4
4400,-0.4,0.4
4420,-0.4,0.4
4440,-0.4,0.4
4460,-0.38857142857142857,0.4
4480,-0.37714285714285717,0.4
4500,-0.3657142857142857,0.4
4520,-0.3542857142857143,0.4
4540,-0.34285714285714286,0.4
4560,-0.33142857142857146,0.4
4580,-0.32,0.4
4600,-0.3085714285714286,0.4
4620,-0.29714285714285715,0.4
4640,-0.28571428571428575,0.4
4660,-0.2742857142857143,0.4
4680,-0.2628571428571429,0.4
4700,-0.25142857142857145,0.4
4720,-0.24000000000000002,0.4
4740,-0.2285714285714286,0.4
4760,-0.21714285714285717,0.4
4780,-0.20571428571428574,0.4
4800,-0.1942857142857143,0.4
4820,-0.18285714285714288,0.4
4840,-0.17142857142857146,0.4
4860,-0.16000000000000003,0.4
4880,-0.14857142857142858,0.4
4900,-0.13714285714285718,0.4
4920,-0.12571428571428572,0.4
4940,-0.11428571428571432,0.4
4960,-0.10285714285714287,0.4
4980,-0.09142857142857147,0.4
5000,-0.08000000000000002,0.4
5020,-0.06857142857142862,0.4
5040,-0.05714285714285716,0.4
5060,-0.04571428571428576,0.4
5080,-0.03428571428571431,0.4
5100,-0.022857142857142854,0.4
5120,-0.011428571428571455,0.4
5140,0.0,0.4
5160,0.0,0.4
5180,0.0,0.4
5200,0.0,0.4
5220,0.0,0.4
5240,0.0,0.4
5260,0.0,0.4
5280,0.0,0.4
5300,0.0,0.4
5320,0.0,0.4
5340,0.0,0.4
5360,0.0,0.4
5380,0.0,0.4
5400,0.0,0.4
5420,0.0,0.4
5440,0.0,0.4
5460,0.0,0.4
5480,0.0,0.4
5500,0.0,0.4
5520,0.0,0.4
5540,0.0,0.4
5560,0.0,0.4
5580,0.0,0.4
5600,0.0,0.4
5620,0.0,0.4
5640,0.0,0.4
5660,0.0,0.4
5680,0.0,0.4
5700,0.0,0.4
5720,0.0,0.4
5740,0.0,0.4
5760,0.0,0.4
5780,0.0,0.4
5800,0.0,0.4
5820,0.0,0.4
5840,0.0,0.4
5860,0.0,0.4
